K,silhouette,CH,DB
2,0.4191982090941613,17.462503508777726,0.7326825619486809
3,0.4136573850630438,21.145217468657144,0.7580653875001123
4,0.4045788247497397,20.610022892574918,0.694701176482095
5,0.4025389711451499,22.63935172878469,0.6543241509999836
